event_id,place,,,status,,lane_bow,,club,,,,,crew,,,rower,,,penalty,,penalty_desc,,time_official,,delta,,percent,,split1,,,cum1,,split2,,,cum2,split3,,cum3,splitF,cum4
18,26,,,Finished,,26,,Mit Rowing Club,,,,,1176.001097,,,W. Richards,,,,,,,16:19.676,,1:14.73,,0.0826,,3:50.580,,,3:50.580,,5:01.504,,,8:52.084,4:44.733,,13:36.817,2:42.859,16:19.676
18,27,,,Finished,,6,,University Barge Club,,,,,1176.001895,,,J. Abele,,,,,,,16:22.359,,1:17.41,,0.0855,,3:58.223,,,3:58.223,,5:04.998,,,9:03.221,4:37.948,,13:41.169,2:41.190,16:22.359
18,28,,,Finished,,21,,Fairfield University Crew,,,,,1176.000692,,,T. Day,,,,,,,16:27.518,,1:22.57,,0.0912,,3:52.026,,,3:52.026,,5:07.880,,,8:59.906,4:39.071,,13:38.977,2:48.541,16:27.518
18,29,,,Finished,,13,,George Mason University Crew Club,,,,,1176.000742,,,W. Colbert,,,,,,,16:33.765,,1:28.82,,0.0981,,3:52.335,,,3:52.335,,5:18.132,,,9:10.467,4:42.868,,13:53.335,2:40.430,16:33.765
18,30,,,Finished,,30,,Rochester Institute Of Technology Crew,,,,,1176.001531,,,J. Martin,,,,,,,16:43.783,,1:38.83,,0.1092,,3:59.578,,,3:59.578,,5:14.143,,,9:13.721,4:42.329,,13:56.050,2:47.733,16:43.783
18,31,,,Finished,,20,,Friends Of Georgetown Rowing,,,,,1176.000657,,,J. Quie,,,,,,,16:56.395,,1:51.45,,0.1232,,3:57.942,,,3:57.942,,5:13.885,,,9:11.827,4:56.469,,14:08.296,2:48.099,16:56.395
18,32,,,Finished,,33,,King's Crown Rowing Association,,,,,1176.000848,,,B. Goggin,,,,,,,17:05.546,,2:00.60,,0.1333,,4:11.756,,,4:11.756,,5:19.514,,,9:31.270,4:49.547,,14:20.817,2:44.729,17:05.546
18,33,,,Finished,,24,,Brown University Alumni,,,,,1176.000222,,,S. Medcalf,,,,,,,17:09.371,,2:04.42,,0.1375,,3:58.423,,,3:58.423,,5:21.094,,,9:19.517,4:57.795,,14:17.312,2:52.059,17:09.371
18,34,,,Finished,,36,,Harvard Business School Boat Club,,,,,1176.00078,,,J. Davis,,,,,,,17:11.353,,2:06.40,,0.1397,,4:03.181,,,4:03.181,,5:16.208,,,9:19.389,5:00.148,,14:19.537,2:51.816,17:11.353
18,35,,,Finished,,25,,Yale Old Fellows Rowing Association,,,,,1176.002223,,,J. Irving,,,,,,,17:19.308,,2:14.36,,0.1485,,4:05.664,,,4:05.664,,5:23.794,,,9:29.458,4:56.594,,14:26.052,2:53.256,17:19.308
18,36,,,Finished,,38,,First State Rowing Club,,,,,1176.000686,,,J. Kenny,,,,,,,17:20.523,,2:15.57,,0.1498,,4:10.241,,,4:10.241,,5:21.702,,,9:31.943,4:55.251,,14:27.194,2:53.329,17:20.523
18,37,,,Finished,,31,,Bny Mellon,,,,,1176.000178,,,S. Dudek,,,,,,,17:24.624,,2:19.67,,0.1543,,4:10.533,,,4:10.533,,5:20.863,,,9:31.396,4:57.094,,14:28.490,2:56.134,17:24.624
18,38,,,Finished,,28,,University Of Massachusetts - Lowell,,,,,1176.002017,,,M. Dolan,,,,,,,17:29.909,,2:24.96,,0.1602,,4:14.534,,,4:14.534,,5:18.987,,,9:33.521,5:01.503,,14:35.024,2:54.885,17:29.909
18,39,,,Finished,,27,,Segreants Boat Club,,,,,1176.001596,,,,,,,,,,18:30.682,,3:25.73,,0.2273,,4:13.057,,,4:13.057,,5:36.925,,,9:49.982,5:18.271,,15:08.253,3:22.429,18:30.682
18,40,,,Finished,,41,,Amherst College Alumni Rowing Association,,,,,1176.000033,,,R. Weaver,,,0:05,,12-FG,,18:44.954,,3:40.00,,0.2431,,4:34.833,,,4:34.833,,5:41.777,,,10:16.610,5:23.016,,15:39.626,3:00.328,18:39.954
18,0,,,DQ,,15,,Norske Studenters Roklubb,,,,,1176.001228,,,N. Wiik,,,,,10-ELIG,,,,,,0,,3:41.901,,,3:41.901,,4:56.003,,,8:37.904,4:22.686,,13:00.590,2:35.168,15:35.758
