"","place_id","lat","long"
"77","ChIJg30l_iV444kRIRBdVX3NrEs",42.3646463,-71.1571436
"78","ChIJRbMmRalw44kRxIwzl3BEQTo",42.3616303,-71.0904606
"79","ChIJLZJnWkF344kRKk-OD9s0rD4",42.3762069,-71.1164047
"80","ChIJTdqCUsWd44kR3TLaZrC5J5A",42.4475735,-71.2270126
"81","ChIJ9_EirEJ344kRsH0YChpY3fo",42.3726157,-71.1207008
"82","ChIJP39cvAZ344kRRyIrj5l-Ids",42.3985063,-71.1398721
"83","ChIJP-zOkNx244kRg01NSdjdY2I",42.4081636,-71.1160096
"84","ChIJfZp686ht44kRNt9xJnk7QRc",42.4475025,-70.9650449
"85","ChIJg41fdh9u44kRkZXKzHHO6do",42.400414,-71.000315
"86","ChIJrSd4dpVy44kR-Cr6Nj8qpP8",42.4783096,-71.0233179
"87","ChIJjbmDv9px44kRvIC8ywb8VBw",42.3920425,-71.0132335
"88","ChIJ6-CFxrty44kRvqmQEjVhr9g",42.4836678,-71.0191162
"89","ChIJIQ35Mq8U44kRkNnvVeROutQ",42.484779,-70.900764
"90","ChIJowTK3q5x44kRlif0tVcO5QY",42.3949358,-71.0430207
"91","ChIJBVpjqrtz44kRRuZGjmFSRMc",42.4554489,-71.0647856
"92","ChIJZ3HT5Dxw44kRCHiid16VRnA",42.3659936,-71.0152513
"93","ChIJs1zNgxZw44kRWZHWxHFwYyI",42.3620486,-71.0196654
"94","ChIJpyY0jRVw44kRgI6T7F-spAk",42.3632131,-71.0248263
"95","ChIJwQ8RPTwN44kRdwV9CTTmcXw",42.5151799,-71.0336575
"96","ChIJtQrhq2QU44kRRD2FOA8ssM4",42.5190413,-70.8949004
"97","ChIJS9lgwYlw44kRDM2mWwJforc",42.3639687,-71.0508022
"98","ChIJiTShfQEV44kRwj0J9cAptiE",42.502649,-70.8559662
"99","ChIJm9rxyIdw44kRLuTtIyGPiPA",42.360194,-71.0508638
"100","ChIJi5OR14Vw44kR2u4x9gJxJtQ",42.3601812,-71.0557159
"101","ChIJK_lhZ4dw44kRZ1SUoOLCGp8",42.3566622,-71.0505014
"102","ChIJ-2Skf4Zw44kRd-6OOJ6vygQ",42.3591853,-71.0556259
"103","ChIJP5Wl5n5w44kR5zzkYnRvFJ4",42.3534889,-71.0464771
"104","ChIJRYf4MIdw44kR8hTGssJctUU",42.3558961,-71.0526353
"105","ChIJnf3a_IRw44kRTLCDXPuX6bU",42.3593583,-71.059221
"106","ChIJx9_MaIRw44kREk6LU7cVM7A",42.3580881,-71.0576487
"107","ChIJ0ZKlhYRw44kRmnaJZGShly0",42.3577432,-71.0592065
"108","ChIJtRJk7oNw44kRvzTX_fqsue0",42.3560988,-71.0569976
"109","ChIJ__0vcIFw44kRHji15ntQusE",42.3546462,-71.0548787
"110","ChIJc4fCt4Nw44kRQkTB1d5wSOU",42.355027,-71.0569357
"111","ChIJ-2Skf4Zw44kR4kw-UYafqDk",42.3609826,-71.0665183
"112","ChIJ_cJcaYJw44kRq5rMXr66aMI",42.3532077,-71.0575698
"113","ChIJYRrkA4Jw44kR5dG9Z5omOmo",42.352262,-71.0560239
"114","ChIJQ9P_1Z5w44kRHyWSORiwmKA",42.3588785,-71.0705772
"115","ChIJh9ONXp5w44kRjaiElgcABnc",42.356324,-71.0693433
"116","ChIJjZgq9HZ644kRq2tYv1TA-Z8",42.3522291,-71.0644431
"117","ChIJjZgq9HZ644kRaBriiQVwmbA",42.3520986,-71.0671221
"118","ChIJ6VmzyBdw44kRexKQxiZQhIc",42.3632763,-71.0164152
"119","ChIJWdi48oZw44kR8WQNmEj3Fi4",42.3581834,-71.054381
"120","ChIJcZkjBYBw44kR1iTeLn1efm0",42.3514618,-71.0504454
"121","ChIJ0SVEOuxw44kR2JP_xYLPmU0",42.376553,-71.0654932
"122","ChIJKzPV4jxw44kRjrak0_vJcNg",42.3666744,-71.0163467
"123","ChIJV5v_toJw44kRrRiAxt4oeZM",42.3535063,-71.0623261
"124","ChIJy3hF-xZw44kRVHg2u_cLzbM",42.3614281,-71.0175188
"125","ChIJVeQy4p5w44kRHYVPHPkYB3I",42.3576216,-71.0704741
"126","ChIJZW3BL4Nw44kRH9Ct6egUdAE",42.3556168,-71.0610907
"127","ChIJoUih4WOK44kRqeARNmafxpg",42.292037,-71.5201166
"128","ChIJ3_0dIJF05IkRMUXoxhi5IPQ",42.217163,-71.54126
"129","ChIJR6-FiaF05IkRMviYr2Av-NE",42.2094242,-71.552037
"130","ChIJ5Q04PlaI44kRkpWKHUGThnc",42.2989214,-71.4222075
"131","ChIJTdgMdfIK5IkRZstp7HH184M",42.2698152,-71.608135
"132","ChIJtxlbE4UK5IkRdw38vYW-azk",42.284518,-71.609896
"133","ChIJ35Q-noWI44kRpAqr_K5q-aY",42.2998831,-71.396056
"134","ChIJ54SQ0ZGI44kRWgiRv72Tk0w",42.3056724,-71.397764
"135","ChIJ5w_iXIGI44kRHpWphPoOBYg",42.2980467,-71.3869319
"136","ChIJsXiuIyiG44kRTpRhtbN_g14",42.3006902,-71.3840976
"137","ChIJ0TyupcX044kRfmlL5zglqiM",42.3393913,-71.5892064
"138","ChIJ88egPvIK5IkRP474jcHiFb8",42.2697856,-71.6083984
"139","ChIJyTuQ0ZGI44kR-pQx442r0sA",42.3059578,-71.3982576
"140","ChIJ30uisUpy5IkRw0Woq5XdeJ8",42.1605547,-71.4983828
"141","ChIJ1yQo46uJ44kR-ryPU-TSBLs",42.297949,-71.4360651
"142","ChIJa9BWa5yB44kRiuD0DYvqp78",42.293251,-71.2350383
"143","ChIJ6__UTMiG44kRMd_x4wNYWTI",42.2959569,-71.2964367
"144","ChIJVallabSG44kRDKJndXd7Dkc",42.3005964,-71.2916356
"145","ChIJsWMbLT955IkRCz9r2hwrMM8",42.1870769,-71.3054011
"146","ChIJgzAkrY5_5IkRcUOgRKrj5po",42.2231975,-71.2226566
"147","ChIJE3hY-hiC44kREucCpHHXW64",42.3095348,-71.2142836
"148","ChIJGTj8PZ9_44kRQalaqoaTYZY",42.2562625,-71.1687764
"149","ChIJ7eOUwMaD44kRmZL7P38Jl_I",42.3254425,-71.2564682
"150","ChIJGbqFWkiC44kRYnXNufXNWAE",42.3263785,-71.2301801
"151","ChIJsz1o9l6G44kR7PtRGGUKJi4",42.3026865,-71.3388381
"152","ChIJVYwdRIKA5IkRZf9R6dkVbvM",42.1781315,-71.1904344
"153","ChIJK0pBmS5_44kRROVf2sm8Bzc",42.2871029,-71.1526141
"154","ChIJveNxcC6A5IkRiFOqgIgPakY",42.2082378,-71.1517047
