event_id,place,,,status,,lane_bow,club,,,,,,crew,,rower,,,,penalty,penalty_desc,,time_official,,delta,,,percent,,split1,,,cum1,,split2,,,cum2,split3,cum3,,splitF,cum4
50,26,,,Finished,,13,Bucknell University,,,,,,1176.000218,,D. Burney,,,,0:05,12-FR,,16:24.241,,51.54,,,0.0553,,3:46.279,,,3:46.279,,5:15.010,,,9:01.289,4:40.154,13:41.443,,2:37.798,16:19.241
50,27,,,Finished,,23,Rutgers University,,,,,,1176.001585,,J. Michalitsianos,,,,,,,16:25.051,,52.35,,,0.0561,,3:45.982,,,3:45.982,,5:22.823,,,9:08.805,4:34.874,13:43.679,,2:41.372,16:25.051
50,28,,,Finished,,26,UNC Men's Crew,,,,,,1176.001911,,S. Fanale,,,,,,,16:30.047,,57.35,,,0.0615,,3:49.260,,,3:49.260,,5:19.447,,,9:08.707,4:37.429,13:46.136,,2:43.911,16:30.047
50,29,,,Finished,,16,Hobart College,,,,,,1176.000783,,2 - K. Turksonmez,,,,,,,16:34.119,,1:01.42,,,0.0659,,3:50.535,,,3:50.535,,5:21.708,,,9:12.243,4:42.740,13:54.983,,2:39.136,16:34.119
50,30,,,Finished,,32,University Of Massachusetts Crew,,,,,,1176.00201,,P. Cajolet,,,,,,,16:37.036,,1:04.34,,,0.069,,3:56.156,,,3:56.156,,5:22.086,,,9:18.242,4:42.406,14:00.648,,2:36.388,16:37.036
50,31,,,Finished,,24,Colgate University Rowing,,,,,,1176.000536,,J. Manzi,,,,,,,16:42.420,,1:09.72,,,0.0748,,3:51.731,,,3:51.731,,5:33.159,,,9:24.890,4:36.478,14:01.368,,2:41.052,16:42.420
50,32,,,Finished,,19,Williams College Boat Club,,,,,,1176.002145,,2 - A. West,,,,,,,16:45.210,,1:12.51,,,0.0777,,4:00.095,,,4:00.095,,5:25.227,,,9:25.322,4:41.307,14:06.629,,2:38.581,16:45.210
50,33,,,Finished,,36,Georgia Tech Crew,,,,,,1176.000761,,2 - K. Wang,,,,,,,16:47.007,,1:14.31,,,0.0797,,3:59.754,,,3:59.754,,5:21.759,,,9:21.513,4:41.252,14:02.765,,2:44.242,16:47.007
50,34,,,Finished,,37,University Of Southern California,,,,,,1176.002042,,A. Lieskovsky,,,,,,,16:48.253,,1:15.55,,,0.081,,4:01.310,,,4:01.310,,5:21.413,,,9:22.723,4:44.077,14:06.800,,2:41.453,16:48.253
50,35,,,Finished,,33,University Of Kansas Crew,,,,,,1176.002001,,M. George,,,,,,,16:52.856,,1:20.16,,,0.0859,,3:59.739,,,3:59.739,,5:29.007,,,9:28.746,4:46.077,14:14.823,,2:38.033,16:52.856
50,36,,,Finished,,35,Bates College,,,,,,1176.000119,,2,,,,,,,17:04.983,,1:32.28,,,0.0989,,3:57.454,,,3:57.454,,5:26.467,,,9:23.921,4:42.354,14:06.275,,2:58.708,17:04.983
50,37,,,Finished,,28,Xi'an Jiaotong University Rowing Club,,,,,,1176.002222,,Z. Xu,,,,,,,17:37.361,,2:04.66,,,0.1337,,4:17.025,,,4:17.025,,5:39.604,,,9:56.629,4:55.720,14:52.349,,2:45.012,17:37.361
50,38,,,Finished,,34,Iona College,,,,,,1176.000831,,R. Dronzek,,,,,,,17:58.568,,2:25.87,,,0.1564,,4:18.097,,,4:18.097,,5:45.621,,,10:03.718,5:01.035,15:04.753,,2:53.815,17:58.568
50,39,,,Finished,,38,Penn State Crew,,,,,,1176.001401,,R. Bass,,,,,,,18:04.649,,2:31.95,,,0.1629,,4:05.785,,,4:05.785,,5:45.914,,,9:51.699,5:15.196,15:06.895,,2:57.754,18:04.649
50,40,,,Finished,,41,Binghamton University Crew,,,,,,1176.000228,,M. Christian,,,,,,,18:37.831,,3:05.13,,,0.1985,,4:30.941,,,4:30.941,,5:58.784,,,10:29.725,5:08.743,15:38.468,,2:59.363,18:37.831
50,41,,,Finished,,39,Amherst College Rowing Association,,,,,,1176.00004,,G. koff,,,,,,,19:11.553,,3:38.85,,,0.2346,,4:33.225,,,4:33.225,,6:10.196,,,10:43.421,5:22.692,16:06.113,,3:05.440,19:11.553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
