event_id,place,,,status,,lane_bow,,club,,,,,,crew,,rower,,,penalty,,penalty_desc,,time_official,,,delta,,percent,,split1,,cum1,,,split2,,cum2,,split3,cum3,splitF,cum4
16,26,,,Finished,,24,,U.s. Military Academy Crew,,,,,,1176.001903,,B. Wagner,,,,,,,18:35.3,,,01:40.7,,0.0993,,04:28.8,,04:28.8,,,05:49.6,,10:18.4,,05:11.1,15:29.4,03:05.8,18:35.3
16,27,,,Finished,,29,,The Rowing Team At The University Of Georgia,,,,,,1176.001835,,B. Williamson,,,,,,,18:36.6,,,01:42.1,,0.1006,,04:31.2,,04:31.2,,,05:46.5,,10:17.7,,05:15.9,15:33.6,03:03.0,18:36.6
16,28,,,Finished,,51,,Wentworth Men's Rowing Alumni,,,,,,1176.00216,,R. Andrews,,,,,,,18:42.9,,,01:48.3,,0.1068,,04:22.6,,04:22.6,,,05:49.3,,10:11.9,,05:23.7,15:35.6,03:07.3,18:42.9
16,29,,,Finished,,17,,College Of William And Mary,,,,,,1176.000395,,,,,,,,,18:44.6,,,01:50.0,,0.1084,,04:22.9,,04:22.9,,,05:57.0,,10:19.9,,05:12.3,15:32.2,03:12.3,18:44.6
16,30,,,Finished,,43,,New York Maritime College Crew,,,,,,1176.001266,,,,,,,,,18:44.8,,,01:50.2,,0.1087,,04:29.8,,04:29.8,,,05:50.1,,10:19.9,,05:17.2,15:37.1,03:07.7,18:44.8
16,31,,,Finished,,54,,University Of Virginia Alumni,,,,,,1176.002051,,W. Glaser,,,,,,,18:50.0,,,01:55.5,,0.1138,,04:34.1,,04:34.1,,,05:45.9,,10:20.0,,05:23.7,15:43.7,03:06.3,18:50.0
16,32,,,Finished,,50,,Virginia Tech Crew,,,,,,1176.002125,,N. Frazier,,,,,,,18:51.4,,,01:56.8,,0.1152,,04:31.1,,04:31.1,,,05:49.9,,10:21.0,,05:22.2,15:43.2,03:08.1,18:51.4
16,33,,,Finished,,30,,Capital Rowing Club,,,,,,1176.000422,,M. Neumann,,,,,,,19:03.8,,,02:09.3,,0.1274,,04:35.3,,04:35.3,,,05:48.4,,10:23.7,,05:27.0,15:50.7,03:13.1,19:03.8
16,34,,,Finished,,21,,College Of Charleston Crew,,,,,,1176.000388,,E. Markert,,,,,,,19:04.4,,,02:09.9,,0.128,,04:31.3,,04:31.3,,,05:50.8,,10:22.1,,05:22.8,15:44.9,03:19.5,19:04.4
16,35,,,Finished,,6,,Lake Union Crew,,,,,,1176.000938,,C. Dowling,,,,,,,19:05.7,,,02:11.1,,0.1292,,04:39.0,,04:39.0,,,05:57.6,,10:36.6,,05:15.3,15:51.9,03:13.7,19:05.7
