"","place_id","lat","long"
"77","ChIJP3zskGyk44kR1KoNXkLD5p8",42.6366044,-71.3146519
"78","ChIJ2djr1z6k44kRLWci6U1d9h8",42.6454058,-71.3081955
"79","ChIJdbE4JdWj44kRgVqaqrGTjXU",42.5819959,-71.2898231
"80","ChIJEZC_Ezqk44kRlErnK5gkYB0",42.6523914,-71.3030525
"81","ChIJr7q1aHek44kR9cc66m0R32c",42.6278943,-71.3226481
"82","ChIJRY1cm2mk44kRJtdEad0VQig",42.6406381,-71.3175749
"83","ChIJaZLPusuj44kRAZqcDr5FvOE",42.5873945,-71.3072801
"84","ChIJLZ1-C5uj44kRt8msKDzw22w",42.6138079,-71.3269463
"85","ChIJ6fptUKOg44kR7vD6VuFjWAg",42.5897225,-71.2036703
"86","ChIJz3UjBt0J44kRDPyFejhghZI",42.6220799,-71.1832189
"87","ChIJy0NiUOel44kR3ZcXYrnS7QI",42.676464,-71.2934463
"88","ChIJSdXFcSUI44kRPS7NmKjZYVM",42.6491136,-71.1828037
"89","ChIJ7Sg2Nw6j44kRapJNFzskGr0",42.6030714,-71.3451817
"90","ChIJjf3YqIyk44kR1JaeqrgaWZ8",42.64685,-71.34134
"91","ChIJTWU4RYWk44kRr-dLEboaUxg",42.6375767,-71.3460055
"92","ChIJ08lX9emh44kRAJkpJqJenfE",42.553584,-71.26523
"93","ChIJwUjLdhqi44kReTk2cmhhLRs",42.5578494,-71.2988529
"94","ChIJ_0zvzJCk44kRtgEbXOElDcc",42.6413329,-71.3526902
"95","ChIJaU-NGhyj44kRh81KELORmak",42.595505,-71.3527919
"96","ChIJjXuwyKil44kR51tnF-3b_b0",42.671859,-71.3297054
"97","ChIJ4ym9Bw6o44kRISwpVM33kfs",42.6904983,-71.2101374
"98","ChIJr3QpoCUK44kR59qEe91FN8Q",42.5890063,-71.1583004
"99","ChIJUx_C34UK44kR3NVy1_ZMosc",42.5583052,-71.1825057
"100","ChIJcYg24Rao44kRv5L30dr4Bcs",42.6965385,-71.2075772
"101","ChIJt-pJUmaf44kRllLkjU9QNGA",42.5334928,-71.2629316
"102","ChIJV2DThCqg44kR7poyFv0A9i4",42.5347838,-71.2367682
"103","ChIJbyQKnT-o44kR5Z0wsPZZx_0",42.7033766,-71.2146449
"104","ChIJZXX11kQK44kRbIk5y9bjfL4",42.5680891,-71.1593265
"105","ChIJIYBMrJEK44kRwP6iDIyWqoU",42.5510884,-71.1777234
"106","ChIJ3xElIxSl44kRLtzCQRcBuy0",42.6822993,-71.3547484
"107","ChIJwbB2QokI44kR5PVUSlOWS5g",42.653806,-71.138912
"108","ChIJvVIWsesH44kRF_LjwSUd5ng",42.6904186,-71.1718542
"109","ChIJKz_IedYH44kR_seDGFhyal8",42.6729432,-71.1506584
"110","ChIJF8qznVCk44kRAKW4yVb4Qpk",42.653985,-71.32705
"111","ChIJwwRcxSWo44kRFOl3RqtGPwk",42.706131,-71.199136
"112","ChIJ0Zq_SZUK44kRXmE-K0dmxA0",42.5420059,-71.1667114
"113","ChIJV7TTFLwH44kR5ECzMg9OakQ",42.6987362,-71.1638051
"114","ChIJXaLBYcoH44kRr_TGUKcXyFQ",42.6899439,-71.149105
"115","ChIJX-3U46gL44kR8DEdf-mU5Ac",42.5585268,-71.1368747
"116","ChIJXaLBYcoH44kR8sLH-wJoUFE",42.6851237,-71.1398044
"117","ChIJRWOKgeAK44kRtUSBpcDY-vE",42.538844,-71.1475185
"118","ChIJ1-3j1QAP44kRyDTauJK3uZo",42.6211419,-71.0527293
"119","ChIJ_-nzGncR44kRgqpIEaeLMkI",42.5959397,-70.9919566
"120","ChIJqZyf8O8F44kRbNWHQkDkpGQ",42.6700385,-71.0855735
"121","ChIJD2k0P6sR44kRYTGfYKg02OA",42.5992794,-70.9599652
"122","ChIJV1JBbl4J44kR5D5Gc1EC6DI",42.5946489,-71.1186722
"123","ChIJtUFyH6MR44kRS_a_ipAfp-g",42.584899,-70.964308
"124","ChIJF1LAoqgI44kRip2l7rjO2g4",42.6611107,-71.1104836
"125","ChIJlTuEmo0L44kRIEyTGh6Mv1c",42.5662369,-71.1077529
"126","ChIJSZlboosN44kR5lnq4Xtmh0w",42.549301,-71.006575
"127","ChIJ_Vg4giEG44kRq2nvtjEn8yA",42.667838,-71.1208534
"128","ChIJ5b_PiSQS44kRGDftqvmAhwk",42.557968,-70.971467
"129","ChIJeytvt3wS44kRB0DocoiJKJs",42.5341964,-70.9909753
"130","ChIJOcL5fGYR44kR6ifo3kpP8ZI",42.5662383,-70.936437
"131","ChIJsdtvMWMS44kRGmYlcoznK58",42.533415,-70.990039
"132","ChIJS2ZY22cG44kR_OdD9b2q_k8",42.694475,-71.118835
"133","ChIJK7kYcMwT44kRacr6954VDMs",42.5478317,-70.9508909
"134","ChIJ2zCBJdsT44kRO-6Z-qHxdDI",42.553412,-70.940187
"135","ChIJTTOsulkG44kRfMaH5C-rY1A",42.7024938,-71.1308863
"136","ChIJPXDpz8cT44kRebklqSMpGJ0",42.5400924,-70.9419207
"137","ChIJrY1fJz0O44kRGF2ZFDgUmY0",42.5939509,-71.015636
"138","ChIJCT0MhiIM44kRZo3Rd855VcE",42.5751743,-71.0724785
"139","ChIJnbtnhPsR44kRQoKCGC3prnI",42.5762501,-70.9957887
"140","ChIJn77Htmsa44kR1hCKhIjYcBY",42.6506249,-70.9350269
"141","ChIJkRaLEzIS44kRmr8KMdDr4Yk",42.5526447,-70.9593422
"142","ChIJ1xMyWeUT44kReCah9l6Mtr8",42.5470004,-70.9198996
"143","ChIJI7EHd2AR44kR4alkf7Ce6Vo",42.5595817,-70.9314047
"144","ChIJASstz84H44kRK6IUcMfdU50",42.6863686,-71.1523527
"145","ChIJJxggMq4H44kRU3JRka9Yaww",42.7002892,-71.1536581
"146","ChIJpT1SUaYH44kRPZbYmkHLD9w",42.7079674,-71.1592654
"147","ChIJw1u3bW4X44kRrTwpSSg8jdY",42.609992,-70.873328
"148","ChIJYxuco1EW44kRyS5WQ9My-8U",42.575878,-70.850091
"149","ChIJQXcTAO8W44kRasT7s0B5sAg",42.574469,-70.866618
"150","ChIJpYN7OicW44kRevfVKmpC5HU",42.5621612,-70.8138917
"151","ChIJ1x4P9wM944kRyMB-jwZE2u8",42.573877,-70.7702149
"152","ChIJ7SKPMsQW44kRtfe7RNlmiPA",42.5755809,-70.8921611
"153","ChIJVVKfu8cW44kR8IPLtHwjtC8",42.5723723,-70.8927323
"154","ChIJt0XQHpgW44kRW-P25EH3WHE",42.5592837,-70.8822381
"155","ChIJk4exv98W44kRMqaSqSyzLDQ",42.5866758,-70.8849472
"156","ChIJr02tBqIW44kRaCluAlv6y8s",42.554905,-70.8836529
"157","ChIJgSr26iAU44kRYZ1cwD8s8Po",42.547692,-70.879137
"158","ChIJpUbIBF4744kRp4LOwKGCX3k",42.5773267,-70.7118604
"159","ChIJw-3w3OUi44kRWnXaHYdQOlo",42.6305343,-70.7742214
"160","ChIJX4mlfc8Y44kRu7GcDDtTtTk",42.6848948,-70.8442802
"161","ChIJOQ-s9xQU44kRdRqEuA5xysY",42.5339182,-70.8872045
"162","ChIJX1P4_P4b44kRTbFYML5gyh4",42.7029938,-70.9106116
"163","ChIJ2dCPH8UT44kRahbeSckUDs8",42.5489775,-70.9400929
"164","ChIJpUbIBF4744kRPVOgK9JXmNk",42.577158,-70.711604
"165","ChIJO13eAhsl44kRh201Ues2iGs",42.6135019,-70.6593954
"166","ChIJjwrRLOYk44kRHl-LSu3lfOc",42.61173,-70.680928
"167","ChIJI-Xy558l44kRCzpXeWxqZWk",42.6223048,-70.6435733
"168","ChIJHUbynwAm44kRSh0gsOKCbrs",42.6562784,-70.6261158
"169","ChIJO8Zwq-Ik44kRSzF6ljGuD8I",42.6165497,-70.6696545
"170","ChIJaWwz6xol44kRf5WH7KILuCw",42.613423,-70.658864
"171","ChIJXRF56Rol44kRmtOtlJKoqvY",42.613531,-70.659259
"172","ChIJERT-3cOR44kRqLFanq9rbr0",42.4320914,-71.4492505
"173","ChIJeWhqK5uQ44kRB9QPeIF4qxw",42.456349,-71.3910757
"174","ChIJe6FlDG2R44kRvcpT-nzWQaY",42.4681913,-71.4562423
"175","ChIJbxEnzD-R44kRVKNqyb850JQ",42.4760778,-71.4509
"176","ChIJeV-II6Oa44kRvdoJNsyDGc4",42.4217007,-71.3713021
"177","ChIJi7RbV2ea44kR3lCNaKUJZJM",42.4465419,-71.3589514
"178","ChIJ0YKYokGa44kRLA5mx7A9fc0",42.4563875,-71.3562398
"179","ChIJu06vDoGS44kRWdm1-RMug2o",42.4343533,-71.5290491
"180","ChIJ____z4qL44kRsoqgPjamXzc",42.3623605,-71.4177131
"181","ChIJf2hnn02Q44kRQLprXu9lDXM",42.4422444,-71.4296497
"182","ChIJQfrGBMeQ44kRUMmtZubYit8",42.474687,-71.4087
"183","ChIJs6pGLhuS44kRLzr3teuYaWE",42.433871,-71.4851225
"184","ChIJvZFEdM2Q44kRoBPRs6-3SN4",42.486585,-71.4173143
"185","ChIJF9Oq0hOT44kRrqe01XpWlRg",42.4862761,-71.5398946
"186","ChIJY7rik4qL44kRnKJKwo7_V-E",42.350292,-71.50317
"187","ChIJqWrdeXuL44kR_NYbBUswKgE",42.3509517,-71.5340671
"188","ChIJkRFIOfyd44kRooQiC-DwKRU",42.4486226,-71.1996851
"189","ChIJE8Q0B4md44kRX09U7D40p0s",42.426103,-71.1953559
"190","ChIJF_W_V8Od44kRB1RXdWiIa70",42.4463896,-71.2217914
"191","ChIJ8bccbTt244kR7ZyPnM88lEU",42.4239021,-71.1782963
"192","ChIJ70hPzNqd44kRrZc5AGVgxCE",42.4474671,-71.2260976
"193","ChIJ-4EuI7Sd44kRkuvdt5ATuAE",42.436098,-71.235079
"194","ChIJVSH3Mu1144kRcrcSs8IQ1o8",42.4672862,-71.178338
"195","ChIJWb_p0MN144kRFZxnCZXJs0c",42.460021,-71.163977
"196","ChIJuVN-Dged44kRnp5QPdo7Z2s",42.41811,-71.231746
"197","ChIJyy1JTT6e44kRnLAQ_LR3tV8",42.475347,-71.21314
"198","ChIJDx2golt244kRYbAFdrEXAz0",42.4195314,-71.1530414
"199","ChIJuRKlX0ic44kRDOCsEcIODY4",42.4396622,-71.2502277
"200","ChIJr8sxeEee44kR_J-t3tFFEZg",42.4815961,-71.2136217
"201","ChIJpXDrrB6d44kRt85DSFG1eeM",42.4051407,-71.2346817
"202","ChIJ22mv-1Z244kRhTf42q9rKhs",42.412358,-71.1484744
"203","ChIJrb9dxjF044kRVTCY4N0FbbU",42.451999,-71.13676
"204","ChIJm7WGAYF144kRwNXU3kP6X8o",42.4853368,-71.1880152
"205","ChIJzcX6d7N144kRpSvYSSPResk",42.4684521,-71.1478293
"206","ChIJvyYSzzV044kRDxgam2UPi4I",42.4593482,-71.1398002
"207","ChIJt57UoPJ244kRVUSiPaNJL9Q",42.4210154,-71.1329293
"208","ChIJmS2vXfl244kRUB1XzkiVjHw",42.409934,-71.139427
"209","ChIJl7Guj6l144kRXhvKjEJTas0",42.4804165,-71.1510934
"210","ChIJE-MtXuJ344kRsevaV-N0Z_A",42.386909,-71.1908838
"211","ChIJkVYt8XN144kRxNCm2xJuJIM",42.490915,-71.173479
"212","ChIJd_mlquV344kRG_KAgr8ILc8",42.3855264,-71.1833816
"213","ChIJtzNbuu9244kR3THzAPgodMc",42.4136945,-71.1309624
"214","ChIJAVnXXDed44kRY9PCEkkniG0",42.3867058,-71.2224662
"215","ChIJIaN8ewh344kRP0hbcdnlaEs",42.3957572,-71.1414026
"216","ChIJMeIyuxx344kR-G3cFcnIws0",42.3987086,-71.1321625
"217","ChIJh0ZfqMJ244kR0jEPLbxJ1X0",42.4108276,-71.1204062
"218","ChIJN-qTJQp344kR3dfg73FKwv0",42.3900467,-71.1429484
"219","ChIJB3Se8syC44kRUhHkidZ5bAs",42.3788201,-71.223147
"220","ChIJD0AEjMic44kRZ6ETIwNaAk8",42.3950135,-71.2610799
"221","ChIJ67p1bq6f44kRDedRTBhuJg4",42.500829,-71.230344
"222","ChIJO9xF-Qp344kRrqlDV2fl20M",42.3878464,-71.1422825
"223","ChIJtWqguRd144kRKTefkES7eZM",42.500255,-71.1603389
"224","ChIJdU855dSC44kR0zV5aCWqYaY",42.3804772,-71.2370831
"225","ChIJHSskAOqe44kRlUIZ2__CG0o",42.487137,-71.2633218
"226","ChIJA5jqBrh244kRYbxt19QWeNc",42.418551,-71.109138
"227","ChIJe0JmFMZ244kRwHS5oJ4_wqM",42.4143645,-71.1104242
"228","ChIJhdumgKmC44kRGwDmNWJreRo",42.3708646,-71.195071
"229","ChIJ0-11O4t044kRM6dhVop5qPU",42.479888,-71.120045
"230","ChIJ9WFjigac44kRuXXo__04HBY",42.462901,-71.2868979
"231","ChIJM_0Oe99244kR3pX9m9zGFEE",42.4007218,-71.1173464
"232","ChIJRZqhLOef44kRZG3GlgXGTfY",42.5108211,-71.199826
"233","ChIJ1fmwZzx144kRFmY-Sahwh6U",42.506434,-71.16079
"234","ChIJzw0sziiD44kRUiPZ-BvQHyo",42.3764022,-71.2453485
"235","ChIJiV60DD1344kRr5A4zP9MbPM",42.3892758,-71.1195733
"236","ChIJFVhn9Wd344kRn9h0WWa-KN0",42.3717115,-71.1211242
"237","ChIJJbF03wR444kRl2RY2kJT6WM",42.3660409,-71.1820514
"238","ChIJvcxCSzJ444kRWZpIh2pSQv0",42.3558811,-71.1490924
"239","ChIJa6jpfIh344kRK1wklBoFwn4",42.3713783,-71.157457
"240","ChIJndsFQUB444kRYG1UP3-aCck",42.350301,-71.1668791
"241","ChIJcQxb_jF344kRJORz0zyO_3g",42.3883546,-71.1036241
"242","ChIJCWCnqztx44kRUk6U1eWKTK8",42.4064902,-71.0827429
"243","ChIJ9ZyVv8eC44kRvces-RxXVKs",42.3688416,-71.2176896
"244","ChIJm9Ipod-C44kR1McLMykbkGc",42.3662167,-71.2384011
"245","ChIJ62imVth544kRMtqcUoOthQ4",42.3625589,-71.1306907
"246","ChIJk8PvGF5x44kRKK2hMFTIbFA",42.4276408,-71.0736378
"247","ChIJZ_mA2k1x44kRdAGcx1UQo64",42.4228092,-71.0919937
"248","ChIJZXmh43tz44kRhzqQXAPvSOc",42.4767674,-71.090629
"249","ChIJv5ijQthw44kRmPO0g7z7GMY",42.3932537,-71.0834768
"250","ChIJGdnro61w44kRUqTLY-5kyGk",42.366348,-71.094153
"251","ChIJedsmirdw44kRsfecgLWeJ4c",42.3788374,-71.0946399
"252","ChIJWafO46KC44kRzEKtvwx668U",42.3603153,-71.2024325
