ID,Description
gene83,ID=gene83;Name=thrC;Dbxref=GeneID:1029655;gbkey=Gene;gene=thrC;locus_tag=SMU_70;old_locus_tag=SMU.70
gene89,ID=gene89;Name=SMU_76;Dbxref=GeneID:1029661;gbkey=Gene;locus_tag=SMU_76;old_locus_tag=SMU.76
gene90,ID=gene90;Name=fruA;Dbxref=GeneID:1029658;gbkey=Gene;gene=fruA;locus_tag=SMU_78;old_locus_tag=SMU.78
gene91,ID=gene91;Name=fruB;Dbxref=GeneID:1029659;gbkey=Gene;gene=fruB;locus_tag=SMU_79;old_locus_tag=SMU.79
gene97,ID=gene97;Name=thiD;Dbxref=GeneID:1029669;gbkey=Gene;gene=thiD;locus_tag=SMU_85;old_locus_tag=SMU.85
gene98,ID=gene98;Name=SMU_86;Dbxref=GeneID:1029667;gbkey=Gene;locus_tag=SMU_86;old_locus_tag=SMU.86
gene99,ID=gene99;Name=SMU_87;Dbxref=GeneID:1029664;gbkey=Gene;locus_tag=SMU_87;old_locus_tag=SMU.87
gene100,ID=gene100;Name=SMU_88c;Dbxref=GeneID:1029672;gbkey=Gene;locus_tag=SMU_88c;old_locus_tag=SMU.88c
gene101,ID=gene101;Name=SMU_89c;Dbxref=GeneID:1029673;gbkey=Gene;locus_tag=SMU_89c;old_locus_tag=SMU.89c
gene106,ID=gene106;Name=rpoE;Dbxref=GeneID:1029671;gbkey=Gene;gene=rpoE;locus_tag=SMU_96;old_locus_tag=SMU.96
gene110,ID=gene110;Name=SMU_100;Dbxref=GeneID:1029681;gbkey=Gene;locus_tag=SMU_100;old_locus_tag=SMU.100
gene111,ID=gene111;Name=SMU_101;Dbxref=GeneID:1029680;gbkey=Gene;locus_tag=SMU_101;old_locus_tag=SMU.101
gene112,ID=gene112;Name=SMU_102;Dbxref=GeneID:1029683;gbkey=Gene;locus_tag=SMU_102;old_locus_tag=SMU.102
gene113,ID=gene113;Name=SMU_103;Dbxref=GeneID:1029684;gbkey=Gene;locus_tag=SMU_103;old_locus_tag=SMU.103
