ID,Description
gene419,ID=gene419;Name=SMU_417;Dbxref=GeneID:1027942;gbkey=Gene;locus_tag=SMU_417;old_locus_tag=SMU.417
gene420,ID=gene420;Name=nusA;Dbxref=GeneID:1029573;gbkey=Gene;gene=nusA;locus_tag=SMU_418;old_locus_tag=SMU.418
gene421,ID=gene421;Name=SMU_419;Dbxref=GeneID:1027940;gbkey=Gene;locus_tag=SMU_419;old_locus_tag=SMU.419
gene422,ID=gene422;Name=SMU_420;Dbxref=GeneID:1027943;gbkey=Gene;locus_tag=SMU_420;old_locus_tag=SMU.420
gene423,ID=gene423;Name=SMU_421;Dbxref=GeneID:1029572;gbkey=Gene;locus_tag=SMU_421;old_locus_tag=SMU.421
gene425,ID=gene425;Name=SMU_423;Dbxref=GeneID:1027944;gbkey=Gene;locus_tag=SMU_423;old_locus_tag=SMU.423
gene426,ID=gene426;Name=copY;Dbxref=GeneID:1029575;gbkey=Gene;gene=copY;locus_tag=SMU_424;old_locus_tag=SMU.424
gene427,ID=gene427;Name=copA;Dbxref=GeneID:1028623;gbkey=Gene;gene=copA;locus_tag=SMU_426;old_locus_tag=SMU.426
gene430,ID=gene430;Name=SMU_429c;Dbxref=GeneID:1027945;gbkey=Gene;locus_tag=SMU_429c;old_locus_tag=SMU.429c
gene432,ID=gene432;Name=SMU_432;Dbxref=GeneID:1029576;gbkey=Gene;locus_tag=SMU_432;old_locus_tag=SMU.432
gene433,ID=gene433;Name=SMU_433;Dbxref=GeneID:1027947;gbkey=Gene;locus_tag=SMU_433;old_locus_tag=SMU.433
gene434,ID=gene434;Name=SMU_434;Dbxref=GeneID:1027950;gbkey=Gene;locus_tag=SMU_434;old_locus_tag=SMU.434
gene439,ID=gene439;Name=SMU_439;Dbxref=GeneID:1027953;gbkey=Gene;locus_tag=SMU_439;old_locus_tag=SMU.439
gene454,ID=gene454;Name=mraY;Dbxref=GeneID:1027963;gbkey=Gene;gene=mraY;locus_tag=SMU_456;old_locus_tag=SMU.456
gene455,ID=gene455;Name=SMU_457;Dbxref=GeneID:1029356;gbkey=Gene;locus_tag=SMU_457;old_locus_tag=SMU.457
gene461,ID=gene461;Name=trxB;Dbxref=GeneID:1029596;gbkey=Gene;gene=trxB;locus_tag=SMU_463;old_locus_tag=SMU.463
gene465,ID=gene465;Name=pbp1a;Dbxref=GeneID:1027967;gbkey=Gene;gene=pbp1a;locus_tag=SMU_467;old_locus_tag=SMU.467
gene474,ID=gene474;Name=rpoZ;Dbxref=GeneID:1027976;gbkey=Gene;gene=rpoZ;locus_tag=SMU_479;old_locus_tag=SMU.479
gene480,ID=gene480;Name=SMU_485;Dbxref=GeneID:1027980;gbkey=Gene;locus_tag=SMU_485;old_locus_tag=SMU.485
gene482,ID=gene482;Name=SMU_487;Dbxref=GeneID:1029476;gbkey=Gene;locus_tag=SMU_487;old_locus_tag=SMU.487
gene483,ID=gene483;Name=SMU_488;Dbxref=GeneID:1027972;gbkey=Gene;locus_tag=SMU_488;old_locus_tag=SMU.488
gene485,ID=gene485;Name=pflC;Dbxref=GeneID:1029528;gbkey=Gene;gene=pflC;locus_tag=SMU_490;old_locus_tag=SMU.490
gene491,ID=gene491;Name=SMU_497c;Dbxref=GeneID:1029589;gbkey=Gene;locus_tag=SMU_497c;old_locus_tag=SMU.497c
gene492,ID=gene492;Name=comF;Dbxref=GeneID:1027989;gbkey=Gene;gene=comF;locus_tag=SMU_498;old_locus_tag=SMU.498
gene493,ID=gene493;Name=SMU_499;Dbxref=GeneID:1027992;gbkey=Gene;locus_tag=SMU_499;old_locus_tag=SMU.499
gene497,ID=gene497;Name=SMU_503c;Dbxref=GeneID:1029363;gbkey=Gene;locus_tag=SMU_503c;old_locus_tag=SMU.503c
gene499,ID=gene499;Name=SMU_505;Dbxref=GeneID:1027997;gbkey=Gene;locus_tag=SMU_505;old_locus_tag=SMU.505
gene500,ID=gene500;Name=SMU_506;Dbxref=GeneID:1029358;gbkey=Gene;locus_tag=SMU_506;old_locus_tag=SMU.506
gene501,ID=gene501;Name=SMU_507;Dbxref=GeneID:1027996;gbkey=Gene;locus_tag=SMU_507;old_locus_tag=SMU.507
gene502,ID=gene502;Name=SMU_508;Dbxref=GeneID:1027999;gbkey=Gene;locus_tag=SMU_508;old_locus_tag=SMU.508
gene505,ID=gene505;Name=SMU_512c;Dbxref=GeneID:1028001;gbkey=Gene;locus_tag=SMU_512c;old_locus_tag=SMU.512c
gene514,ID=gene514;Name=SMU_522;Dbxref=GeneID:1028006;gbkey=Gene;locus_tag=SMU_522;old_locus_tag=SMU.522
gene515,ID=gene515;Name=SMU_523;Dbxref=GeneID:1028005;gbkey=Gene;locus_tag=SMU_523;old_locus_tag=SMU.523
gene516,ID=gene516;Name=SMU_524;Dbxref=GeneID:1029472;gbkey=Gene;locus_tag=SMU_524;old_locus_tag=SMU.524
gene517,ID=gene517;Name=SMU_525;Dbxref=GeneID:1028008;gbkey=Gene;locus_tag=SMU_525;old_locus_tag=SMU.525
gene518,ID=gene518;Name=SMU_526c;Dbxref=GeneID:1029593;gbkey=Gene;locus_tag=SMU_526c;old_locus_tag=SMU.526c
gene519,ID=gene519;Name=SMU_527;Dbxref=GeneID:1028007;gbkey=Gene;locus_tag=SMU_527;old_locus_tag=SMU.527
gene522,ID=gene522;Name=SMU_530c;Dbxref=GeneID:1028009;gbkey=Gene;locus_tag=SMU_530c;old_locus_tag=SMU.530c
gene523,ID=gene523;Name=SMU_531;Dbxref=GeneID:1028013;gbkey=Gene;locus_tag=SMU_531;old_locus_tag=SMU.531
gene524,ID=gene524;Name=trpE;Dbxref=GeneID:1029382;gbkey=Gene;gene=trpE;locus_tag=SMU_532;old_locus_tag=SMU.532
gene525,ID=gene525;Name=trpG;Dbxref=GeneID:1027987;gbkey=Gene;gene=trpG;locus_tag=SMU_533;old_locus_tag=SMU.533
gene526,ID=gene526;Name=trpD;Dbxref=GeneID:1028014;gbkey=Gene;gene=trpD;locus_tag=SMU_534;old_locus_tag=SMU.534
gene527,ID=gene527;Name=trpC;Dbxref=GeneID:1027902;gbkey=Gene;gene=trpC;locus_tag=SMU_535;old_locus_tag=SMU.535
gene528,ID=gene528;Name=trpF;Dbxref=GeneID:1028012;gbkey=Gene;gene=trpF;locus_tag=SMU_536;old_locus_tag=SMU.536
gene529,ID=gene529;Name=trpB;Dbxref=GeneID:1028016;gbkey=Gene;gene=trpB;locus_tag=SMU_537;old_locus_tag=SMU.537
gene530,ID=gene530;Name=trpA;Dbxref=GeneID:1029455;gbkey=Gene;gene=trpA;locus_tag=SMU_538;old_locus_tag=SMU.538
gene531,ID=gene531;Name=SMU_539c;Dbxref=GeneID:1028015;gbkey=Gene;locus_tag=SMU_539c;old_locus_tag=SMU.539c
gene532,ID=gene532;Name=dpr;Dbxref=GeneID:1028018;gbkey=Gene;gene=dpr;locus_tag=SMU_540;old_locus_tag=SMU.540
gene535,ID=gene535;Name=SMU_543;Dbxref=GeneID:1028020;gbkey=Gene;locus_tag=SMU_543;old_locus_tag=SMU.543
gene540,ID=gene540;Name=murG;Dbxref=GeneID:1028021;gbkey=Gene;gene=murG;locus_tag=SMU_549;old_locus_tag=SMU.549
gene546,ID=gene546;Name=ylmG;Dbxref=GeneID:1029521;gbkey=Gene;gene=ylmG;locus_tag=SMU_555;old_locus_tag=SMU.555
gene547,ID=gene547;Name=ylmH;Dbxref=GeneID:1028028;gbkey=Gene;gene=ylmH;locus_tag=SMU_556;old_locus_tag=SMU.556
gene548,ID=gene548;Name=divIVA;Dbxref=GeneID:1029404;gbkey=Gene;gene=divIVA;locus_tag=SMU_557;old_locus_tag=SMU.557
gene549,ID=gene549;Name=SMU_558;Dbxref=GeneID:1028027;gbkey=Gene;locus_tag=SMU_558;old_locus_tag=SMU.558
gene553,ID=gene553;Name=SMU_563;Dbxref=GeneID:1028032;gbkey=Gene;locus_tag=SMU_563;old_locus_tag=SMU.563
gene559,ID=gene559;Name=feoA;Dbxref=GeneID:1028034;gbkey=Gene;gene=feoA;locus_tag=SMU_569;old_locus_tag=SMU.569
gene560,ID=gene560;Name=feoB;Dbxref=GeneID:1029473;gbkey=Gene;gene=feoB;locus_tag=SMU_570;old_locus_tag=SMU.570
gene561,ID=gene561;Name=SMU_571;Dbxref=GeneID:1029425;gbkey=Gene;locus_tag=SMU_571;old_locus_tag=SMU.571
gene567,ID=gene567;Name=lytS;Dbxref=GeneID:1028035;gbkey=Gene;gene=lytS;locus_tag=SMU_577;old_locus_tag=SMU.577
gene569,ID=gene569;Name=SMU_581;Dbxref=GeneID:1029448;gbkey=Gene;locus_tag=SMU_581;old_locus_tag=SMU.581
gene570,ID=gene570;Name=SMU_582;Dbxref=GeneID:1029051;gbkey=Gene;locus_tag=SMU_582;old_locus_tag=SMU.582
gene574,ID=gene574;Name=SMU_586;Dbxref=GeneID:1028042;gbkey=Gene;locus_tag=SMU_586;old_locus_tag=SMU.586
gene579,ID=gene579;Name=SMU_591c;Dbxref=GeneID:1029453;gbkey=Gene;locus_tag=SMU_591c;old_locus_tag=SMU.591c
gene580,ID=gene580;Name=SMU_592c;Dbxref=GeneID:1028047;gbkey=Gene;locus_tag=SMU_592c;old_locus_tag=SMU.592c
gene581,ID=gene581;Name=furR;Dbxref=GeneID:1029415;gbkey=Gene;gene=furR;locus_tag=SMU_593;old_locus_tag=SMU.593
gene583,ID=gene583;Name=pyrD;Dbxref=GeneID:1028049;gbkey=Gene;gene=pyrD;locus_tag=SMU_595;old_locus_tag=SMU.595
gene586,ID=gene586;Name=recM;Dbxref=GeneID:1028050;gbkey=Gene;gene=recM;locus_tag=SMU_598;old_locus_tag=SMU.598
gene587,ID=gene587;Name=SMU_599;Dbxref=GeneID:1029384;gbkey=Gene;locus_tag=SMU_599;old_locus_tag=SMU.599
gene588,ID=gene588;Name=SMU_600c;Dbxref=GeneID:1028048;gbkey=Gene;locus_tag=SMU_600c;old_locus_tag=SMU.600c
gene590,ID=gene590;Name=murF;Dbxref=GeneID:1028382;gbkey=Gene;gene=murF;locus_tag=SMU_603;old_locus_tag=SMU.603
gene599,ID=gene599;Name=SMU_613;Dbxref=GeneID:1029347;gbkey=Gene;locus_tag=SMU_613;old_locus_tag=SMU.613
gene601,ID=gene601;Name=SMU_616;Dbxref=GeneID:1028061;gbkey=Gene;locus_tag=SMU_616;old_locus_tag=SMU.616
gene602,ID=gene602;Name=SMU_618;Dbxref=GeneID:1029352;gbkey=Gene;locus_tag=SMU_618;old_locus_tag=SMU.618
gene608,ID=gene608;Name=comEA;Dbxref=GeneID:1029564;gbkey=Gene;gene=comEA;locus_tag=SMU_625;old_locus_tag=SMU.625
gene609,ID=gene609;Name=SMU_626;Dbxref=GeneID:1028064;gbkey=Gene;locus_tag=SMU_626;old_locus_tag=SMU.626
gene610,ID=gene610;Name=SMU_627;Dbxref=GeneID:1028066;gbkey=Gene;locus_tag=SMU_627;old_locus_tag=SMU.627
gene611,ID=gene611;Name=SMU_628;Dbxref=GeneID:1029584;gbkey=Gene;locus_tag=SMU_628;old_locus_tag=SMU.628
gene612,ID=gene612;Name=sod;Dbxref=GeneID:1029605;gbkey=Gene;gene=sod;locus_tag=SMU_629;old_locus_tag=SMU.629
gene614,ID=gene614;Name=SMU_631;Dbxref=GeneID:1029604;gbkey=Gene;locus_tag=SMU_631;old_locus_tag=SMU.631
gene615,ID=gene615;Name=SMU_632;Dbxref=GeneID:1029423;gbkey=Gene;locus_tag=SMU_632;old_locus_tag=SMU.632
gene616,ID=gene616;Name=SMU_633;Dbxref=GeneID:1028069;gbkey=Gene;locus_tag=SMU_633;old_locus_tag=SMU.633
gene626,ID=gene626;Name=SMU_643;Dbxref=GeneID:1029514;gbkey=Gene;locus_tag=SMU_643;old_locus_tag=SMU.643
gene627,ID=gene627;Name=SMU_644;Dbxref=GeneID:1029517;gbkey=Gene;locus_tag=SMU_644;old_locus_tag=SMU.644
gene628,ID=gene628;Name=pepB;Dbxref=GeneID:1028075;gbkey=Gene;gene=pepB;locus_tag=SMU_645;old_locus_tag=SMU.645
gene629,ID=gene629;Name=SMU_646;Dbxref=GeneID:1029565;gbkey=Gene;locus_tag=SMU_646;old_locus_tag=SMU.646
gene630,ID=gene630;Name=SMU_647;Dbxref=GeneID:1029511;gbkey=Gene;locus_tag=SMU_647;old_locus_tag=SMU.647
gene631,ID=gene631;Name=prtM;Dbxref=GeneID:1028077;gbkey=Gene;gene=prtM;locus_tag=SMU_648;old_locus_tag=SMU.648
gene640,ID=gene640;Name=mutG;Dbxref=GeneID:1028084;gbkey=Gene;gene=mutG;locus_tag=SMU_657;old_locus_tag=SMU.657
gene641,ID=gene641;Name=SMU_658;Dbxref=GeneID:1028082;gbkey=Gene;locus_tag=SMU_658;old_locus_tag=SMU.658
gene643,ID=gene643;Name=SMU_660;Dbxref=GeneID:1028081;gbkey=Gene;locus_tag=SMU_660;old_locus_tag=SMU.660
gene644,ID=gene644;Name=SMU_661;Dbxref=GeneID:1028086;gbkey=Gene;locus_tag=SMU_661;old_locus_tag=SMU.661
gene646,ID=gene646;Name=argC;Dbxref=GeneID:1029497;gbkey=Gene;gene=argC;locus_tag=SMU_663;old_locus_tag=SMU.663
gene647,ID=gene647;Name=argJ;Dbxref=GeneID:1028088;gbkey=Gene;gene=argJ;locus_tag=SMU_664;old_locus_tag=SMU.664
gene648,ID=gene648;Name=argB;Dbxref=GeneID:1029524;gbkey=Gene;gene=argB;locus_tag=SMU_665;old_locus_tag=SMU.665
gene649,ID=gene649;Name=argD;Dbxref=GeneID:1028085;gbkey=Gene;gene=argD;locus_tag=SMU_666;old_locus_tag=SMU.666
gene650,ID=gene650;Name=nrdG;Dbxref=GeneID:1028089;gbkey=Gene;gene=nrdG;locus_tag=SMU_667;old_locus_tag=SMU.667
gene651,ID=gene651;Name=SMU_668c;Dbxref=GeneID:1029366;gbkey=Gene;locus_tag=SMU_668c;old_locus_tag=SMU.668c
gene654,ID=gene654;Name=citZ;Dbxref=GeneID:1029598;gbkey=Gene;gene=citZ;locus_tag=SMU_671;old_locus_tag=SMU.671
gene655,ID=gene655;Name=idh;Dbxref=GeneID:1028090;gbkey=Gene;gene=idh;gene_synonym=icd;locus_tag=SMU_672;old_locus_tag=SMU.672
gene656,ID=gene656;Name=SMU_673;Dbxref=GeneID:1028093;gbkey=Gene;locus_tag=SMU_673;old_locus_tag=SMU.673
gene658,ID=gene658;Name=SMU_675;Dbxref=GeneID:1028092;gbkey=Gene;locus_tag=SMU_675;old_locus_tag=SMU.675
gene660,ID=gene660;Name=SMU_677;Dbxref=GeneID:1029461;gbkey=Gene;locus_tag=SMU_677;old_locus_tag=SMU.677
gene661,ID=gene661;Name=SMU_678;Dbxref=GeneID:1028094;gbkey=Gene;locus_tag=SMU_678;old_locus_tag=SMU.678
gene662,ID=gene662;Name=SMU_679;Dbxref=GeneID:1028100;gbkey=Gene;locus_tag=SMU_679;old_locus_tag=SMU.679
gene663,ID=gene663;Name=SMU_680;Dbxref=GeneID:1029518;gbkey=Gene;locus_tag=SMU_680;old_locus_tag=SMU.680
gene670,ID=gene670;Name=SMU_688;Dbxref=GeneID:1028103;gbkey=Gene;locus_tag=SMU_688;old_locus_tag=SMU.688
gene672,ID=gene672;Name=SMU_690;Dbxref=GeneID:1029417;gbkey=Gene;locus_tag=SMU_690;old_locus_tag=SMU.690
gene674,ID=gene674;Name=SMU_692;Dbxref=GeneID:1028108;gbkey=Gene;locus_tag=SMU_692;old_locus_tag=SMU.692
gene687,ID=gene687;Name=SMU_707c;Dbxref=GeneID:1029583;gbkey=Gene;locus_tag=SMU_707c;old_locus_tag=SMU.707c
gene693,ID=gene693;Name=SMU_715;Dbxref=GeneID:1028119;gbkey=Gene;locus_tag=SMU_715;old_locus_tag=SMU.715
gene695,ID=gene695;Name=murM;Dbxref=GeneID:1028122;gbkey=Gene;gene=murM;locus_tag=SMU_717;old_locus_tag=SMU.717
gene696,ID=gene696;Name=SMU_718c;Dbxref=GeneID:1029562;gbkey=Gene;locus_tag=SMU_718c;old_locus_tag=SMU.718c
gene697,ID=gene697;Name=SMU_719c;Dbxref=GeneID:1029359;gbkey=Gene;locus_tag=SMU_719c;old_locus_tag=SMU.719c
gene702,ID=gene702;Name=SMU_724;Dbxref=GeneID:1028126;gbkey=Gene;locus_tag=SMU_724;old_locus_tag=SMU.724
gene703,ID=gene703;Name=SMU_725c;Dbxref=GeneID:1028125;gbkey=Gene;locus_tag=SMU_725c;old_locus_tag=SMU.725c
gene704,ID=gene704;Name=SMU_727;Dbxref=GeneID:1028130;gbkey=Gene;locus_tag=SMU_727;old_locus_tag=SMU.727
gene708,ID=gene708;Name=SMU_732;Dbxref=GeneID:1028134;gbkey=Gene;locus_tag=SMU_732;old_locus_tag=SMU.732
gene710,ID=gene710;Name=SMU_735;Dbxref=GeneID:1028137;gbkey=Gene;locus_tag=SMU_735;old_locus_tag=SMU.735
gene715,ID=gene715;Name=SMU_742;Dbxref=GeneID:1028136;gbkey=Gene;locus_tag=SMU_742;old_locus_tag=SMU.742
gene716,ID=gene716;Name=SMU_743;Dbxref=GeneID:1028141;gbkey=Gene;locus_tag=SMU_743;old_locus_tag=SMU.743
gene717,ID=gene717;Name=ftsY;Dbxref=GeneID:1029340;gbkey=Gene;gene=ftsY;locus_tag=SMU_744;old_locus_tag=SMU.744
gene718,ID=gene718;Name=lmrB;Dbxref=GeneID:1028142;gbkey=Gene;gene=lmrB;locus_tag=SMU_745;old_locus_tag=SMU.745
gene719,ID=gene719;Name=SMU_746c;Dbxref=GeneID:1029531;gbkey=Gene;locus_tag=SMU_746c;old_locus_tag=SMU.746c
gene720,ID=gene720;Name=SMU_747c;Dbxref=GeneID:1029471;gbkey=Gene;locus_tag=SMU_747c;old_locus_tag=SMU.747c
gene721,ID=gene721;Name=SMU_748;Dbxref=GeneID:1028143;gbkey=Gene;locus_tag=SMU_748;old_locus_tag=SMU.748
gene725,ID=gene725;Name=SMU_753;Dbxref=GeneID:1028144;gbkey=Gene;locus_tag=SMU_753;old_locus_tag=SMU.753
gene726,ID=gene726;Name=SMU_754;Dbxref=GeneID:1028140;gbkey=Gene;locus_tag=SMU_754;old_locus_tag=SMU.754
gene730,ID=gene730;Name=SMU_758c;Dbxref=GeneID:1028150;gbkey=Gene;locus_tag=SMU_758c;old_locus_tag=SMU.758c
gene731,ID=gene731;Name=SMU_759;Dbxref=GeneID:1028149;gbkey=Gene;locus_tag=SMU_759;old_locus_tag=SMU.759
gene734,ID=gene734;Name=SMU_765;Dbxref=GeneID:1028152;gbkey=Gene;locus_tag=SMU_765;old_locus_tag=SMU.765
gene735,ID=gene735;Name=SMU_766;Dbxref=GeneID:1028151;gbkey=Gene;locus_tag=SMU_766;old_locus_tag=SMU.766
gene737,ID=gene737;Name=SMU_768c;Dbxref=GeneID:1028156;gbkey=Gene;locus_tag=SMU_768c;old_locus_tag=SMU.768c
gene739,ID=gene739;Name=SMU_770c;Dbxref=GeneID:1028161;gbkey=Gene;locus_tag=SMU_770c;old_locus_tag=SMU.770c
gene740,ID=gene740;Name=SMU_771c;Dbxref=GeneID:1028160;gbkey=Gene;locus_tag=SMU_771c;old_locus_tag=SMU.771c
gene741,ID=gene741;Name=gbpD;Dbxref=GeneID:1028158;gbkey=Gene;gene=gbpD;locus_tag=SMU_772;old_locus_tag=SMU.772
gene743,ID=gene743;Name=SMU_774;Dbxref=GeneID:1028335;gbkey=Gene;locus_tag=SMU_774;old_locus_tag=SMU.774
gene744,ID=gene744;Name=SMU_775c;Dbxref=GeneID:1028163;gbkey=Gene;locus_tag=SMU_775c;old_locus_tag=SMU.775c
gene745,ID=gene745;Name=SMU_776;Dbxref=GeneID:1028166;gbkey=Gene;locus_tag=SMU_776;old_locus_tag=SMU.776
gene746,ID=gene746;Name=aroD;Dbxref=GeneID:1028165;gbkey=Gene;gene=aroD;locus_tag=SMU_777;old_locus_tag=SMU.777
gene747,ID=gene747;Name=aroE;Dbxref=GeneID:1028162;gbkey=Gene;gene=aroE;locus_tag=SMU_778;old_locus_tag=SMU.778
gene756,ID=gene756;Name=SMU_788;Dbxref=GeneID:1028171;gbkey=Gene;locus_tag=SMU_788;old_locus_tag=SMU.788
gene757,ID=gene757;Name=SMU_789;Dbxref=GeneID:1028177;gbkey=Gene;locus_tag=SMU_789;old_locus_tag=SMU.789
gene760,ID=gene760;Name=SMU_793;Dbxref=GeneID:1028180;gbkey=Gene;locus_tag=SMU_793;old_locus_tag=SMU.793
gene761,ID=gene761;Name=SMU_794;Dbxref=GeneID:1028179;gbkey=Gene;locus_tag=SMU_794;old_locus_tag=SMU.794
gene762,ID=gene762;Name=SMU_795;Dbxref=GeneID:1028178;gbkey=Gene;locus_tag=SMU_795;old_locus_tag=SMU.795
gene763,ID=gene763;Name=SMU_796;Dbxref=GeneID:1028183;gbkey=Gene;locus_tag=SMU_796;old_locus_tag=SMU.796
gene766,ID=gene766;Name=SMU_799c;Dbxref=GeneID:1028186;gbkey=Gene;locus_tag=SMU_799c;old_locus_tag=SMU.799c
gene784,ID=gene784;Name=mscL;Dbxref=GeneID:1028202;gbkey=Gene;gene=mscL;locus_tag=SMU_819;old_locus_tag=SMU.819
gene791,ID=gene791;Name=rgpB;Dbxref=GeneID:1028203;gbkey=Gene;gene=rgpB;locus_tag=SMU_826;old_locus_tag=SMU.826
gene795,ID=gene795;Name=rgpF;Dbxref=GeneID:1029091;gbkey=Gene;gene=rgpF;locus_tag=SMU_830;old_locus_tag=SMU.830
gene799,ID=gene799;Name=SMU_834;Dbxref=GeneID:1028211;gbkey=Gene;locus_tag=SMU_834;old_locus_tag=SMU.834
gene801,ID=gene801;Name=SMU_836;Dbxref=GeneID:1028216;gbkey=Gene;locus_tag=SMU_836;old_locus_tag=SMU.836
gene802,ID=gene802;Name=SMU_837;Dbxref=GeneID:1028212;gbkey=Gene;locus_tag=SMU_837;old_locus_tag=SMU.837
gene803,ID=gene803;Name=gshR;Dbxref=GeneID:1028208;gbkey=Gene;gene=gshR;locus_tag=SMU_838;old_locus_tag=SMU.838
gene804,ID=gene804;Name=fol;Dbxref=GeneID:1028206;gbkey=Gene;gene=fol;locus_tag=SMU_839;old_locus_tag=SMU.839
gene805,ID=gene805;Name=SMU_840c;Dbxref=GeneID:1028215;gbkey=Gene;locus_tag=SMU_840c;old_locus_tag=SMU.840c
gene806,ID=gene806;Name=SMU_841;Dbxref=GeneID:1028214;gbkey=Gene;locus_tag=SMU_841;old_locus_tag=SMU.841
gene817,ID=gene817;Name=SMU_852;Dbxref=GeneID:1028225;gbkey=Gene;locus_tag=SMU_852;old_locus_tag=SMU.852
gene818,ID=gene818;Name=lspA;Dbxref=GeneID:1029493;gbkey=Gene;gene=lspA;locus_tag=SMU_853;old_locus_tag=SMU.853
gene823,ID=gene823;Name=pyrB;Dbxref=GeneID:1028229;gbkey=Gene;gene=pyrB;locus_tag=SMU_858;old_locus_tag=SMU.858
gene824,ID=gene824;Name=pyrA;Dbxref=GeneID:1029336;gbkey=Gene;gene=pyrA;locus_tag=SMU_859;old_locus_tag=SMU.859
gene825,ID=gene825;Name=pyrAB;Dbxref=GeneID:1027974;gbkey=Gene;gene=pyrAB;locus_tag=SMU_860;old_locus_tag=SMU.860
gene827,ID=gene827;Name=SMU_863;Dbxref=GeneID:1028231;gbkey=Gene;locus_tag=SMU_863;old_locus_tag=SMU.863
gene828,ID=gene828;Name=SMU_864;Dbxref=GeneID:1029367;gbkey=Gene;locus_tag=SMU_864;old_locus_tag=SMU.864
gene837,ID=gene837;Name=metE;Dbxref=GeneID:1028236;gbkey=Gene;gene=metE;locus_tag=SMU_873;old_locus_tag=SMU.873
gene838,ID=gene838;Name=SMU_874;Dbxref=GeneID:1028241;gbkey=Gene;locus_tag=SMU_874;old_locus_tag=SMU.874
gene839,ID=gene839;Name=SMU_875c;Dbxref=GeneID:1028228;gbkey=Gene;locus_tag=SMU_875c;old_locus_tag=SMU.875c
gene841,ID=gene841;Name=agaL;Dbxref=GeneID:1028243;gbkey=Gene;gene=agaL;locus_tag=SMU_877;old_locus_tag=SMU.877
gene843,ID=gene843;Name=msmF;Dbxref=GeneID:1028242;gbkey=Gene;gene=msmF;locus_tag=SMU_879;old_locus_tag=SMU.879
gene844,ID=gene844;Name=msmG;Dbxref=GeneID:1028246;gbkey=Gene;gene=msmG;locus_tag=SMU_880;old_locus_tag=SMU.880
gene845,ID=gene845;Name=gtfA;Dbxref=GeneID:1028245;gbkey=Gene;gene=gtfA;locus_tag=SMU_881;old_locus_tag=SMU.881
gene846,ID=gene846;Name=msmK;Dbxref=GeneID:1028244;gbkey=Gene;gene=msmK;locus_tag=SMU_882;old_locus_tag=SMU.882
gene847,ID=gene847;Name=dexB;Dbxref=GeneID:1028248;gbkey=Gene;gene=dexB;locus_tag=SMU_883;old_locus_tag=SMU.883
gene848,ID=gene848;Name=galR;Dbxref=GeneID:1028232;gbkey=Gene;gene=galR;locus_tag=SMU_885;old_locus_tag=SMU.885
gene850,ID=gene850;Name=galT;Dbxref=GeneID:1028252;gbkey=Gene;gene=galT;locus_tag=SMU_887;old_locus_tag=SMU.887
gene851,ID=gene851;Name=galE;Dbxref=GeneID:1028251;gbkey=Gene;gene=galE;locus_tag=SMU_888;old_locus_tag=SMU.888
gene855,ID=gene855;Name=hsdS;Dbxref=GeneID:1028249;gbkey=Gene;gene=hsdS;locus_tag=SMU_892;old_locus_tag=SMU.892
gene856,ID=gene856;Name=SMU_893;Dbxref=GeneID:1028259;gbkey=Gene;locus_tag=SMU_893;old_locus_tag=SMU.893
gene863,ID=gene863;Name=papS;Dbxref=GeneID:1028262;gbkey=Gene;gene=papS;locus_tag=SMU_901;old_locus_tag=SMU.901
gene864,ID=gene864;Name=SMU_902;Dbxref=GeneID:1028261;gbkey=Gene;locus_tag=SMU_902;old_locus_tag=SMU.902
gene865,ID=gene865;Name=SMU_905;Dbxref=GeneID:1028267;gbkey=Gene;locus_tag=SMU_905;old_locus_tag=SMU.905
gene867,ID=gene867;Name=SMU_909;Dbxref=GeneID:1028265;gbkey=Gene;locus_tag=SMU_909;old_locus_tag=SMU.909
gene868,ID=gene868;Name=gtfD;Dbxref=GeneID:1028270;gbkey=Gene;gene=gtfD;locus_tag=SMU_910;old_locus_tag=SMU.910
gene871,ID=gene871;Name=SMU_914c;Dbxref=GeneID:1028272;gbkey=Gene;locus_tag=SMU_914c;old_locus_tag=SMU.914c
gene878,ID=gene878;Name=SMU_923;Dbxref=GeneID:1029412;gbkey=Gene;locus_tag=SMU_923;old_locus_tag=SMU.923
gene879,ID=gene879;Name=tpx;Dbxref=GeneID:1028271;gbkey=Gene;gene=tpx;locus_tag=SMU_924;old_locus_tag=SMU.924
gene880,ID=gene880;Name=SMU_925;Dbxref=GeneID:1028279;gbkey=Gene;locus_tag=SMU_925;old_locus_tag=SMU.925
gene882,ID=gene882;Name=SMU_927;Dbxref=GeneID:1028276;gbkey=Gene;locus_tag=SMU_927;old_locus_tag=SMU.927
gene883,ID=gene883;Name=SMU_928;Dbxref=GeneID:1028283;gbkey=Gene;locus_tag=SMU_928;old_locus_tag=SMU.928
gene884,ID=gene884;Name=SMU_929c;Dbxref=GeneID:1028281;gbkey=Gene;locus_tag=SMU_929c;old_locus_tag=SMU.929c
gene885,ID=gene885;Name=SMU_930c;Dbxref=GeneID:1028282;gbkey=Gene;locus_tag=SMU_930c;old_locus_tag=SMU.930c
gene886,ID=gene886;Name=SMU_932;Dbxref=GeneID:1028284;gbkey=Gene;locus_tag=SMU_932;old_locus_tag=SMU.932
gene887,ID=gene887;Name=SMU_933;Dbxref=GeneID:1028287;gbkey=Gene;locus_tag=SMU_933;old_locus_tag=SMU.933
